Year,Subject,one,two,three,four,five
2017,Biology,0,2,7,28,7
2017,Calculus AB,2,6,7,11,5
2017,Calculus BC,0,10,26,19,102
2017,Calculus BC: AB Subscore,1,9,16,33,98
2017,Chemistry,3,12,31,22,10
2017,Chinese Language and Culture,0,2,10,0,2
2017,Computer Science A,3,3,11,4,26
2017,English Language and Composition,0,2,6,11,16
2017,English Literature and Composition,0,0,2,9,5
2017,Environmental Science,0,0,1,0,0
2017,French Language and Culture,0,2,3,5,0
2017,Human Geography,0,0,1,0,0
2017,Macroeconomics,1,0,3,2,2
2017,Microeconomics,0,0,0,3,3
2017,Physics 1,0,2,2,4,2
2017,Physics 2,0,1,0,0,0
2017,Physics C: Electricity and Magnetism,4,10,10,16,9
2017,Physics C: Mechanics,1,5,12,15,26
2017,Psychology,0,3,6,5,3
2017,Spanish Language and Culture,0,0,9,23,17
2017,Statistics,0,0,4,8,5
2017,United States Government and Politics,1,5,1,5,3
2017,United States History,0,0,0,0,1
2017,World History: Modern,0,0,0,1,0
2018,Biology,0,1,11,23,13
2018,Calculus AB,1,5,12,2,2
2018,Calculus BC,1,4,20,23,92
2018,Calculus BC: AB Subscore,0,3,13,25,99
2018,Chemistry,4,21,26,23,12
2018,Chinese Language and Culture,2,3,5,2,2
2018,Computer Science A,1,5,20,16,24
2018,Computer Science Principles,0,0,0,1,0
2018,English Language and Composition,0,0,11,13,14
2018,English Literature and Composition,0,1,5,6,0
2018,Environmental Science,0,1,4,4,1
2018,French Language and Culture,0,1,5,2,0
2018,Human Geography,0,0,0,1,0
2018,Macroeconomics,2,8,7,5,0
2018,Microeconomics,2,4,3,10,1
2018,Physics 1,0,4,5,4,0
2018,Physics C: Electricity and Magnetism,2,11,5,10,15
2018,Physics C: Mechanics,1,3,12,15,25
2018,Psychology,0,5,9,7,10
2018,Spanish Language and Culture,0,0,3,3,9
2018,Statistics,0,0,0,4,12
2018,United States Government and Politics,0,7,4,0,3
2018,United States History,0,0,0,1,1
2019,Biology,0,3,12,23,10
2019,Calculus AB,1,3,2,1,0
2019,Calculus BC,0,14,20,19,75
2019,Calculus BC: AB Subscore,0,7,14,24,83
2019,Chemistry,4,12,29,25,12
2019,Chinese Language and Culture,2,2,6,1,1
2019,Computer Science A,1,6,11,25,21
2019,Computer Science Principles,0,0,0,0,1
2019,English Language and Composition,0,0,7,12,10
2019,English Literature and Composition,0,1,0,5,4
2019,European History,0,0,0,1,0
2019,French Language and Culture,0,2,3,2,1
2019,Human Geography,0,1,0,0,0
2019,Macroeconomics,5,1,3,2,0
2019,Physics 1,2,3,2,5,1
2019,Physics 2,0,0,0,1,0
2019,Physics C: Electricity and Magnetism,2,11,7,9,20
2019,Physics C: Mechanics,1,1,13,11,26
2019,Psychology,1,4,2,11,5
2019,Spanish Language and Culture,0,0,4,13,9
2019,Statistics,0,1,6,8,4
2019,United States Government and Politics,0,0,1,0,1
2019,United States History,0,3,0,3,3
2019,World History: Modern,0,0,0,0,1
2020,Biology,0,6,14,20,16
2020,Calculus AB,2,14,1,1,1
2020,Calculus BC,1,10,18,28,68
2020,Chemistry,1,13,25,27,12
2020,Chinese Language and Culture,0,0,0,0,1
2020,Computer Science A,2,1,10,21,29
2020,English Language and Composition,0,2,7,9,11
2020,English Literature and Composition,0,2,2,2,3
2020,Environmental Science,0,0,1,1,0
2020,German Language and Culture,0,0,1,0,0
2020,Human Geography,0,1,0,1,2
2020,Macroeconomics,1,0,0,8,10
2020,Microeconomics,1,0,1,7,11
2020,Music Theory,0,0,0,2,0
2020,Physics 1,0,1,6,3,1
2020,Physics 2,0,0,0,1,0
2020,Physics C: Electricity and Magnetism,1,2,3,15,23
2020,Physics C: Mechanics,0,2,7,13,28
2020,Psychology,0,2,1,8,12
2020,Spanish Language and Culture,0,0,5,9,14
2020,Statistics,0,4,10,10,11
2020,United States Government and Politics,0,0,1,3,4
2020,United States History,0,1,4,1,2
2020,World History: Modern,0,0,0,1,3
2021,Biology,1,2,19,20,5
2021,Calculus AB,2,4,1,0,3
2021,Calculus BC,3,12,18,23,52
2021,Calculus BC: AB Subscore,3,14,16,24,51
2021,Chemistry,10,22,22,12,3
2021,Chinese Language and Culture,4,1,0,1,8
2021,Comparative Government and Politics,0,0,1,0,0
2021,Computer Science A,2,3,20,25,16
2021,English Language and Composition,0,2,6,12,4
2021,Environmental Science,0,3,2,3,1
2021,European History,0,0,0,1,0
2021,French Language and Culture,0,0,0,1,0
2021,German Language and Culture,0,0,1,0,0
2021,Macroeconomics,0,4,0,2,7
2021,Microeconomics,0,5,3,4,9
2021,Music Aural Subscore,0,0,0,0,2
2021,Music Non-Aural Subscore,0,0,0,1,1
2021,Music Theory,0,0,0,1,1
2021,Physics 1,1,3,2,0,2
2021,Physics C: Electricity and Magnetism,4,4,6,9,8
2021,Physics C: Mechanics,2,3,9,18,14
2021,Psychology,5,4,17,13,11
2021,Spanish Language and Culture,0,0,4,1,6
2021,Statistics,2,4,12,20,5
2021,United States Government and Politics,0,1,8,3,3
2021,United States History,1,0,1,3,4
2022,Biology,0,6,17,17,15
2022,Calculus AB,1,1,1,0,1
2022,Calculus BC,1,13,22,15,47
2022,Calculus BC: AB Subscore,1,13,12,19,53
2022,Chemistry,3,18,28,10,5
2022,Chinese Language and Culture,2,1,1,0,1
2022,Computer Science A,9,4,11,17,16
2022,Computer Science Principles,0,0,0,1,1
2022,English Language and Composition,0,3,5,10,7
2022,English Literature and Composition,0,0,0,1,1
2022,Environmental Science,1,4,2,5,2
2022,Macroeconomics,7,4,0,3,5
2022,Microeconomics,4,4,5,3,3
2022,Physics 1,2,2,2,3,0
2022,Physics 2,0,1,0,0,0
2022,Physics C: Electricity and Magnetism,3,10,7,6,7
2022,Physics C: Mechanics,0,11,10,18,13
2022,Psychology,3,4,11,5,8
2022,Spanish Language and Culture,0,0,3,12,5
2022,Statistics,2,9,16,11,8
2022,United States Government and Politics,1,4,3,2,4
2022,United States History,1,2,2,3,3
2022,World History: Modern,0,0,2,0,2